Player,Team,Position,Age,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Height,Weight,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,xA per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",conference_season,conference_type,Season
S. Hauk,Nebraska Cornhuskers,GK,20,19,1848,0,0,0,0,1.17,66.67,United States,United States,180,0,3.51,0.15,33.33,0.63,92.31,0.05,0.06,0,3.41,4.13,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.1,0,0,0,0.1,14.51,78.52,8.18,68.45,0,0,5.41,90.99,6.38,58.02,30.06,39.95,0,0,0,0,0,0,0.83,41.18,0.05,0,0,0,0,0,4.43,63.74,Big10 2022,Power 5,2022
L. Anglim,Nebraska Cornhuskers,LCB,18,19,1844,1,0.07,2,2.74,9.61,59.39,United States,United States,170,0,8.39,5.52,70.8,1.32,55.56,0.1,0.12,0.34,4.39,5.28,0.54,1,0.05,0,0,0.44,0.05,1,0.05,0,0,0,4,0.2,25,25,0.1,0.13,0.39,62.5,0.2,75,1.66,41.18,0.05,0.34,0.44,24.89,65.88,14.45,53.72,1.22,84,6.83,86.43,7.57,38.71,23.99,37.61,1.12,0,0,0,0,0.05,5.86,42.5,0.78,25,0.39,0,0.05,0.24,7.22,58.78,Big10 2022,Power 5,2022
S. Weber,Nebraska Cornhuskers,"LAMF , CF , LW",19,19,1802,9,8.22,3,0.88,30.72,42.93,United States,United States,168,0,7.34,5.74,57.39,5.99,43.33,0.4,0.47,0.1,3.65,4.29,1.6,3,0.15,0,0,4.74,0.45,9,0.45,0.41,3,0.15,87,4.35,27.59,10.345,0.15,0.04,1.65,21.21,6.19,50,15.78,40.51,3.45,2.25,1.7,19.58,49.23,8.94,34.08,2.55,86.27,5.29,57.55,3.9,28.21,21.28,34.26,0.65,0,0,0.6,16.67,0.45,4.4,25,2.45,26.53,0.85,5.88,0.7,0.45,3.4,54.41,Big10 2022,Power 5,2022
J. Cili,Illinois Fighting Illini,GK,20,18,1742,0,0,0,0,0.93,94.44,United States,United States,173,0,2.07,0.05,0,0.52,100,0.05,0.07,0,2.01,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,12.86,82.33,7.49,75.17,0,0,4.55,90.91,5.68,66.36,30.35,41,0,0,0,0,0,0,0.31,33.33,0,0,0,0,0,0,3.87,65.33,Big10 2022,Power 5,2022
E. Mason,Rutgers Scarlet Knights,RCB,20,19,1724,3,2.99,0,0.24,9.87,59.26,United States,United States,178,0,9.14,5.12,68.37,2.09,55,0.37,0.53,0.47,5.27,7.63,0.26,2,0.1,0,0,0.57,0.16,3,0.16,0.16,0,0,15,0.78,46.67,20,0,0.01,0.1,0,0.31,66.67,1.46,46.43,0.68,2.51,0.31,61.55,77.86,28.71,62.73,2.09,95,26.15,93.01,12.53,42.5,23.31,36.27,0.1,0.05,0,0.05,0,0.05,9.66,54.05,1.25,8.33,1.04,5,0.16,0,14.2,63.24,Big10 2022,Power 5,2022
E. McKinney,Wisconsin Badgers,GK,22,18,1714,0,0,0,0,0.74,78.57,United States,United States,165,0,2.36,0,0,0.53,80,0,0,0,2.36,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0,0,0.26,14.7,89.64,6.51,79.03,0,0,7.46,99.3,3.99,65.79,26.28,30.54,0,0,0,0,0,0,0.32,33.33,0,0,0,0,0,0,2.42,60.87,Big10 2022,Power 5,2022
N. Hauk,Nebraska Cornhuskers,RCB,,19,1711,0,0.26,0,0.47,10.15,68.39,Germany,Germany,170,0,9.1,5.1,75.26,2.58,67.35,0.05,0.06,0.68,5.21,6.1,0.26,0,0,0,0,0.63,0,0,0,0.01,0,0,4,0.21,25,0,0,0.02,0.11,100,0.58,81.82,1,57.89,0.21,0.32,0.16,28.56,68.69,16.57,62.54,1.63,87.1,7.78,79.05,9.21,45.71,22.63,34.03,0.21,0,0.05,0,0,0.05,5.05,47.92,0.32,33.33,0.37,14.29,0,0.11,7.84,59.73,Big10 2022,Power 5,2022
E. Karolak,Illinois Fighting Illini,"LCB , CB , RB",19,18,1683,1,0.74,1,0.36,16.47,54.87,United States,United States,170,0,12.25,9.57,65.36,1.5,28.57,0,0,0.27,5.99,7.4,0.27,0,0,0,0,0.91,0.05,1,0.05,0.04,0,0,4,0.21,75,25,0.05,0.02,0.27,20,1.23,56.52,3.64,38.24,0.43,0.91,0.43,40.21,76.6,18.24,62.76,2.14,95,16.95,90.54,8.18,50.33,21.62,31.14,0.32,0,0.05,0.05,0,0.11,4.17,48.72,0.21,25,0.27,60,0.05,0.05,8.18,45.75,Big10 2022,Power 5,2022
L. Kozal,Michigan State Spartans,GK,22,18,1658,0,0,0,0,1.19,77.27,United States,United States,178,0,1.52,0.05,0,0.6,81.82,0,0,0,1.52,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.27,80,0,0,0.38,35.23,89.68,13.95,79.77,0.11,100,18.46,96.47,6.62,57.38,23.88,34.51,0,0,0,0,0,0,0.76,28.57,0,0,0,0,0,0,4.51,46.99,Big10 2022,Power 5,2022
R. Lapi,Northwestern Wildcats,"RCMF , RDMF , RCMF3",21,17,1650,5,3.83,3,0.43,28.04,63.42,United States,United States,170,0,14.13,9.76,73.74,6.49,73.11,0.44,0.56,0.38,6.49,8.4,1.53,2,0.11,0,0,1.8,0.27,2,0.11,0.21,1,0.05,26,1.42,30.77,19.231,0.16,0.02,0.33,33.33,1.47,77.78,7.85,47.92,1.31,0.87,1.91,45.05,71.31,18.76,52.33,5.29,92.78,15.82,85.52,9.82,33.89,21.5,38.6,0.16,0,0,0.49,22.22,0.11,10.85,45.23,1.53,25,1.25,17.39,0.65,0.05,8.84,58.64,Big10 2022,Power 5,2022
R. Raabe,Nebraska Cornhuskers,"AMF , RAMF , LW",21,18,1644,2,3.77,1,1.73,37.17,48.6,United States,United States,165,0,11.66,9.36,69.01,5.53,42.57,0.93,1.07,0.33,4.27,4.91,1.31,1,0.05,0,0,5.36,0.11,2,0.11,0.21,0,0,36,1.97,33.33,5.556,0.05,0.09,1.31,41.67,7.99,49.32,18.28,41.02,2.79,2.85,1.81,23.98,60.27,10.4,47.37,4.05,91.89,5.47,57,2.79,25.49,19.01,33.9,0.93,0.11,0,0.93,23.53,0.44,4.49,40.24,1.92,40,1.26,21.74,0.99,0.44,3.67,68.66,Big10 2022,Power 5,2022
K. Asman,Penn State Nittany Lion,GK,,17,1639,0,0,0,0,0.49,88.89,United States,United States,178,0,1.32,0.05,100,0.22,100,0,0,0,1.26,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,100,0,0,0.16,13.78,83.27,6.81,71.77,0,0,6.21,94.69,4.61,52.38,27.3,36.73,0,0,0,0,0,0,0.33,0,0.05,0,0,0,0,0,2.86,55.77,Big10 2022,Power 5,2022
M. Ishaug,Wisconsin Badgers,"LCMF , LDMF , RCMF",,18,1639,2,0.94,1,1.12,26.19,55.56,United States,United States,168,0,12.68,10.1,67.93,5.11,48.39,0.05,0.07,0.22,5.77,7.74,1.87,1,0.05,0,0,1.76,0.11,2,0.11,0.05,0,0,11,0.6,63.64,18.182,0.05,0.06,0.27,60,1.7,70.97,7.36,42.54,0.55,1.15,1.65,39.15,79.66,13.51,62.6,7.74,92.91,13.12,89.54,2.36,44.19,16.68,27.69,0.38,0.05,0,0.11,0,0.05,5.27,63.54,0.93,35.29,0.22,0,0.16,0.16,6.21,55.75,Big10 2022,Power 5,2022
S. Bridenstine,Michigan Wolverines,RB,20,18,1636,3,0.87,2,2.91,18.98,52.17,United States,United States,160,0,9.24,7.87,62.24,1.6,55.17,0.06,0.07,0.39,4.29,5.58,0.44,0,0,0,0,4.62,0.17,3,0.17,0.05,0,0,10,0.55,40,30,0.11,0.16,5.28,43.75,2.86,71.15,7.43,41.48,0.94,2.75,0.99,55.29,82.79,17.93,79.14,11.72,94.84,16.83,79.74,3.03,34.55,17.83,33.02,1.49,0,0,0.11,50,0.5,5.28,70.83,4.9,51.69,0.33,50,0.5,2.2,9.96,72.38,Big10 2022,Power 5,2022
D. Austin,Northwestern Wildcats,"RCB3 , RCB",21,17,1635,1,0.24,1,0.5,15.19,63.77,United States,United States,163,0,9.74,7.54,71.53,1.49,51.85,0.5,0.64,0.44,3.85,4.95,0.5,0,0,0,0,1.6,0.06,1,0.06,0.01,0,0,5,0.28,20,20,0.06,0.03,1.65,46.67,1.43,53.85,4.46,49.38,0.28,1.43,0.99,45.41,72,26.81,62.83,2.31,90.48,12.17,87.78,10.24,43.55,21.41,36.35,0.17,0.06,0,0.06,0,0.11,7.82,50.7,1.98,41.67,0.66,33.33,0.28,0.66,11.89,59.72,Big10 2022,Power 5,2022
E. Phillips,Northwestern Wildcats,"CB , LCB",,17,1628,3,2.15,2,0.54,10.78,63.59,United States,United States,180,0,8.02,5.09,68.48,3.1,64.29,0.39,0.5,0.61,4.15,5.34,0.39,0,0,0,0,0.44,0.17,3,0.17,0.12,2,0.11,13,0.72,30.77,23.077,0.11,0.03,0,0,0.44,50,1.6,62.07,0.94,0.06,0.55,33.56,82.87,16.53,73.91,1.66,90,13.05,94.92,5.03,49.45,20.96,36.5,0.17,0,0,0,0,0.17,2.32,59.52,0.28,60,0.17,66.67,0.22,0,7.08,46.09,Big10 2022,Power 5,2022
A. Mcconnell,Wisconsin Badgers,"CB , LCB",,17,1607,0,0,2,2.86,10.92,57.44,United States,United States,168,0,8.29,5.21,63.44,1.46,57.69,0.22,0.31,0.5,4.76,6.57,0.28,2,0.11,1,0.06,0.73,0,0,0,0,0,0,1,0.06,0,0,0.11,0.16,0.34,50,0.84,66.67,2.8,48,0,0.56,0.67,44.41,78.81,17.53,56.87,1.79,90.63,22.07,95.69,10.98,45.41,23.94,36.74,1.01,0.06,0.11,0,0,0.11,5.66,45.54,1.01,33.33,0.5,22.22,0.11,0.22,8.74,50.64,Big10 2022,Power 5,2022
N. Doucette,Northwestern Wildcats,"LCB3 , LB",,17,1605,0,0.09,1,0.82,13.85,57.09,United States,United States,165,0,8.8,8.86,62.03,0.84,53.33,0.06,0.07,0.22,3.25,4.09,0.95,1,0.06,0,0,1.18,0,0,0,0.01,0,0,4,0.22,25,0,0.06,0.05,0.95,41.18,0.95,70.59,2.47,45.45,0.11,1.23,0.34,44.47,76.8,26.07,72.04,2.24,87.5,11.21,85,6.11,43.12,17.62,29.72,0.34,0.06,0.06,0.06,100,0.17,6.84,59.84,1.01,50,0.17,33.33,0.34,0.39,12.34,60.45,Big10 2022,Power 5,2022
L. Curry,Wisconsin Badgers,"LCB3 , LB , RCB3",18,18,1605,0,0,1,0.45,14.69,58.78,United States,United States,0,0,11.55,8.64,69.48,1.91,29.41,0,0,0.39,5.55,7.11,0.67,1,0.06,0,0,0.5,0,0,0,0,0,0,1,0.06,0,0,0.06,0.03,0.28,20,0.62,63.64,1.46,57.69,0,1.68,0.62,46.54,70.6,26.24,60.9,1.96,74.29,14.92,88.72,12.73,44.49,22.48,33.9,0.39,0.06,0.06,0.17,33.33,0.22,8.47,52.32,1.01,22.22,0.56,30,0.22,0.06,12.9,60,Big10 2022,Power 5,2022
K. Pasquale,Illinois Fighting Illini,"LCMF3 , LCMF , LDMF",22,18,1594,5,2.61,0,1.03,28.63,51.48,United States,United States,163,0,10.78,8.24,65.75,2.82,24,0.06,0.07,0.11,5.31,6.68,1.13,1,0.06,0,0,3.9,0.28,4,0.23,0.15,0,0,32,1.81,34.38,15.625,0,0.06,1.3,21.74,4.52,62.5,14.06,51.81,1.41,1.98,2.43,28.85,66.93,12.25,57.6,2.99,83.02,9.09,76.4,3.05,37.04,18.74,32.01,0.68,0,0,0.68,25,0.17,5.65,52,1.58,35.71,1.19,28.57,0.73,0.34,5.7,61.39,Big10 2022,Power 5,2022
G. Lane,Nebraska Cornhuskers,LB,20,19,1593,1,0.35,1,0.36,19.66,59.77,United States,United States,170,0,12.66,9.1,67.08,3.22,71.93,1.02,1.08,0.23,5.54,5.88,1.02,1,0.06,0,0,2.15,0.06,1,0.06,0.02,0,0,10,0.56,60,10,0.06,0.02,1.53,29.63,2.09,64.86,4.8,45.88,0.28,1.07,1.19,22.43,57.93,12.82,52.42,1.64,96.55,5.2,61.96,4.8,31.76,21.42,32.88,0.34,0,0,0.11,0,0.28,5.14,47.25,2.37,33.33,0.79,35.71,0.51,0.45,7.34,60,Big10 2022,Power 5,2022
H. Peterson,Nebraska Cornhuskers,"RDMF , RCMF , LCMF",19,19,1593,1,0.53,0,0.27,24.24,52.91,United States,United States,168,0,11.64,9.04,63.75,3.22,50.88,0.45,0.48,0.17,5.42,5.71,0.96,0,0,0,0,1.53,0.06,1,0.06,0.03,0,0,15,0.85,13.33,6.667,0,0.02,0.45,0,3.11,43.64,8.08,43.36,0.68,0.9,2.32,31.64,73.21,12.6,58.74,4.41,94.87,9.6,82.35,3.05,35.19,16.32,26.26,0.28,0.06,0.06,0.06,100,0,6.1,54.63,1.13,20,0.28,0,0.34,0.11,5.42,60.42,Big10 2022,Power 5,2022
E. Mathews,Purdue Boilermakers,"AMF , RCMF",,17,1587,1,2.27,4,1.43,23.76,46.3,United States,United States,170,0,9.36,7.37,70,2.44,37.21,0.4,0.44,0.23,3.8,4.21,0.85,1,0.06,0,0,1.98,0.06,0,0,0.13,0,0,22,1.25,22.73,4.545,0.23,0.08,0.74,15.38,3.46,32.79,10.04,33.9,0.79,1.47,1.42,39.92,73.3,15.43,55.51,6.29,93.69,11.4,82.09,3.63,32.81,17.6,34.35,0.85,0.06,0,1.25,36.36,0.34,7.88,51.8,2.61,34.78,1.7,30,0.68,0.11,7.09,68.8,Big10 2022,Power 5,2022
S. Wheaton,Iowa Hawkeyes,"RCB3 , RCB",22,17,1585,1,0.47,2,1.49,14.08,64.52,United States,United States,168,0,10.28,7.84,71.01,2.67,63.83,0.11,0.13,0.74,4.6,5.46,0.4,0,0,0,0,0.97,0.06,1,0.06,0.03,0,0,6,0.34,66.67,16.667,0.11,0.08,1.42,44,0.11,100,1.53,40.74,0.28,0.34,0.51,36.17,70.96,21.69,63.61,2.16,92.11,10.39,84.7,10.5,55.68,24.4,35.31,0.91,0,0.06,0,0,0.17,8.18,62.5,2.1,32.43,0.57,30,0.17,0.68,13.06,71.3,Big10 2022,Power 5,2022
M. Schiemann,Penn State Nittany Lion,RCB,,17,1565,3,1.43,0,0.14,14.26,58.47,Germany,Germany,180,0,10.01,6.04,65.71,4.31,65.33,0,0,0.58,6.04,8.27,0.4,0,0,0,0,0.86,0.17,3,0.17,0.08,2,0.12,11,0.63,54.55,27.273,0,0.01,0.06,100,0.63,63.64,2.01,42.86,1.09,1.5,0.58,57.62,80.24,23.98,64.51,2.3,87.5,27.2,94.5,13.11,50.44,22.06,33.71,0.4,0,0,0.17,33.33,0.06,8.22,53.15,0.63,36.36,0.81,7.14,0.29,0.06,12.31,66.82,Big10 2022,Power 5,2022
C. Dyke,Penn State Nittany Lion,"RDMF , DMF",23,17,1564,2,0.54,0,0.65,10.47,56.59,United States,United States,168,0,6.85,3.74,72.31,1.96,50,0.4,0.55,0.23,3.74,5.1,0.35,0,0,0,0,1.04,0.12,2,0.12,0.03,0,0,13,0.75,38.46,15.385,0,0.04,0.06,100,0.92,75,2.93,49.02,0.12,0.46,0.4,38.09,82.18,15.02,68.58,4.14,98.61,14.16,92.28,6.5,45.13,18.43,32.93,0.4,0.12,0.06,0,0,0.17,8.98,62.82,1.15,60,0.81,35.71,0.52,0.06,7.25,73.81,Big10 2022,Power 5,2022
S. Cary,Iowa Hawkeyes,"LCB3 , LB , LCB",21,17,1563,1,0.33,0,2.75,17.16,63.09,United States,United States,173,0,11.86,9.5,69.09,1.44,60,0.35,0.41,0.17,4.95,5.92,0.81,2,0.12,0,0,2.42,0.06,1,0.06,0.02,0,0,5,0.29,20,20,0,0.16,2.94,47.06,1.15,85,3.57,59.68,0.29,1.38,0.75,34.49,64.77,19.12,59.34,2.88,88,8.69,73.51,8.69,50.99,23.28,37.77,1.32,0.06,0,0,0,0.17,7.89,57.66,2.76,58.33,0.29,20,0.52,1.27,12.32,65.89,Big10 2022,Power 5,2022
M. Dayes,Maryland College Park Terrapins,"RCB , RCB3",23,16,1558,0,0,0,0.01,16.52,62.59,Canada,Canada,165,0,11.73,7.28,74.6,1.21,57.14,0.46,0.59,0.4,5.83,7.5,1.16,7,0.4,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,1.04,61.11,4.79,49.4,0,0.17,1.39,28.94,73.45,15.48,63.06,1.5,88.46,8.55,89.86,7.91,51.82,23.19,39.66,0.06,0,0,0,0,0,5.14,50.56,0.4,42.86,0.23,50,0.17,0,8.84,54.25,Big10 2022,Power 5,2022
J. Aulicino,Northwestern Wildcats,"AMF , DMF",,17,1553,7,4.48,4,6.44,20.46,40.23,United States,United States,160,0,6.66,5.91,60.78,1.62,28.57,0,0,0.06,3.07,3.82,0.93,2,0.12,0,0,3.13,0.41,6,0.35,0.26,1,0.06,37,2.14,51.35,18.919,0.23,0.37,1.8,45.16,2.14,48.65,9.56,31.52,3.19,1.97,0.41,38.77,80.87,9.16,63.92,8.63,92.62,12.17,84.29,2.2,44.74,16.86,31.3,3.25,0.17,0,0.41,42.86,0.64,4,57.97,2.9,50,0.46,12.5,0.99,0.81,4.46,71.43,Big10 2022,Power 5,2022
M. McClelland,Rutgers Scarlet Knights,GK,22,16,1551,0,0,0,0,0.23,100,United States,United States,175,0,2.15,0.06,100,0.12,100,0,0,0,2.09,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,22.05,89.74,7.72,74.44,0.06,100,13.06,99.56,5.4,63.44,25.07,34.52,0,0,0,0,0,0,0.17,0,0.06,0,0,0,0,0,2.96,43.14,Big10 2022,Power 5,2022
E. Wheeler,Penn State Nittany Lion,"LB , RB",20,17,1542,0,0.84,3,0.48,17.28,55.07,United States,United States,168,0,8.4,7.47,62.5,2.16,67.57,0.12,0.15,0.23,3.62,4.78,0.64,0,0,0,0,2.1,0,0,0,0.05,0,0,10,0.58,30,0,0.18,0.03,1.17,45,2.28,61.54,5.54,47.37,0.88,1.46,1.46,30.53,72.08,13.02,62.33,3.91,94.03,9.92,78.24,5.14,40.91,19.29,31.15,0.35,0,0,0.06,0,0.23,5.08,57.47,1.58,44.44,0.58,0,0.35,0.53,8.05,63.04,Big10 2022,Power 5,2022
A. Lynch,Rutgers Scarlet Knights,RB,21,16,1540,1,1.92,0,0.69,20.57,59.38,United States,United States,168,0,11.22,8.18,71.43,3.51,58.33,0.47,0.67,0.18,4.91,7,0.41,0,0,0,0,1.87,0.06,1,0.06,0.11,1,0.06,12,0.7,16.67,8.333,0,0.04,1.64,35.71,1.99,58.82,6.6,46.9,1.46,1.87,1.52,40.91,78.29,15.37,62.36,7.83,91.04,9.47,86.42,3.39,36.21,17.17,35.82,0.47,0,0,0.12,0,0.12,5.49,60.64,1.81,45.16,0.29,40,0.41,0.7,7.66,60.31,Big10 2022,Power 5,2022
M. Plaschko,Minnesota Golden Gophers,GK,20,16,1536,0,0,0,0,0.88,86.67,United States,United States,0,0,2.7,0,0,0.76,92.31,0,0,0,2.7,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,50,0,0,0.06,15.7,75.37,11.66,72.36,0,0,3.87,84.85,10.25,65.14,38.3,44.64,0,0,0,0,0,0,2.05,42.86,0.06,0,0,0,0,0,6.62,73.45,Big10 2022,Power 5,2022
S. Brocious,Rutgers Scarlet Knights,"LCMF , RCMF",,16,1534,4,3.66,5,1.65,18.54,48.1,United States,United States,163,0,7.57,6.51,58.56,1.29,72.73,0.47,0.67,0.18,3.29,4.67,0.82,3,0.18,0,0,2.76,0.23,4,0.23,0.21,0,0,30,1.76,60,13.333,0.29,0.1,0.23,0,2.23,65.79,8.68,39.19,1.76,1.35,1.41,41.36,79.72,12.79,68.35,9.21,94.27,11.62,80.3,1.64,39.29,15.49,25.24,0.76,0.06,0.06,0.88,26.67,0.47,6.4,70.64,1.88,43.75,1.29,9.09,0.82,0,6.1,72.12,Big10 2022,Power 5,2022
S. Blount,Purdue Boilermakers,RCB,,16,1502,0,0,0,0.04,13.84,58.01,United States,United States,168,0,11.62,6.89,66.09,2.82,55.32,0.3,0.35,1.32,6.77,7.83,1.02,1,0.06,1,0.06,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.18,33.33,0.96,56.25,2.52,45.24,0.18,0.3,0.72,31.58,73.24,16.06,66.79,1.92,87.5,10.73,84.36,6.41,52.34,20.46,34.96,0.06,0,0,0,0,0,3.95,48.48,0.54,33.33,0.42,28.57,0.12,0.12,7.91,47.73,Big10 2022,Power 5,2022
C. Regazzoni,Northwestern Wildcats,"LCMF , LDMF , LCMF3",,16,1502,3,2.39,2,0.34,23.55,64.63,United States,United States,178,0,14.38,9.65,75.78,5.21,62.07,0.42,0.53,0.24,6.65,8.39,0.54,0,0,0,0,2.16,0.18,3,0.18,0.14,0,0,23,1.38,39.13,13.043,0.12,0.02,0.3,80,1.68,78.57,5.45,53.85,1.2,0.96,0.6,46.56,82.24,16.96,70.32,6.17,94.17,15.22,87.4,3.42,54.39,17.41,35.29,0.48,0.12,0,0.78,7.69,0.24,8.69,63.45,0.84,50,0.6,10,0.24,0.18,7.73,67.44,Big10 2022,Power 5,2022
B. Fluchel,Rutgers Scarlet Knights,DMF,,16,1499,3,3.29,3,1.32,17.17,57.34,United States,United States,175,0,11.35,8.11,62.96,2.16,50,0.12,0.17,0.6,6.12,8.69,0.66,2,0.12,0,0,1.2,0.18,1,0.06,0.2,0,0,18,1.08,38.89,16.667,0.18,0.08,0.24,50,0.96,62.5,3.96,45.45,0.36,0.54,1.08,45.75,83.86,15.31,70.98,5.46,95.6,19.09,90.57,5.16,50,18.95,36.65,0.78,0,0,0.48,12.5,0.06,8.11,68.89,1.08,33.33,0.84,28.57,0.24,0.06,6.48,72.22,Big10 2022,Power 5,2022
J. Zade,Nebraska Cornhuskers,RB,19,19,1499,0,0.04,1,1.52,23,55.87,United States,United States,165,0,11.71,9.25,63.64,1.74,58.62,0,0,0.12,5.82,6.02,1.08,0,0,0,0,5.16,0,0,0,0,0,0,3,0.18,33.33,0,0.06,0.09,4.8,32.5,6.54,54.13,9.31,49.68,0.66,3.3,0.84,23.36,49.1,12.37,50.49,1.38,69.57,6.54,44.04,3.48,24.14,22.46,36.96,0.78,0,0,0.06,0,0.42,3.84,42.19,3.84,43.75,0.24,0,0.42,1.44,6.72,52.68,Big10 2022,Power 5,2022
H. Rydberg,Iowa Hawkeyes,"AMF , CF",22,17,1495,5,5.92,4,1.97,35.1,43.05,United States,United States,173,0,8.13,6.98,62.07,5.54,46.74,0,0,0.18,3.79,4.27,1.38,1,0.06,0,0,5.24,0.3,3,0.18,0.36,0,0,61,3.67,22.95,8.197,0.24,0.12,1.44,33.33,6.74,53.57,18.78,37.5,2.77,3.13,1.32,32.27,73.51,9.27,57.79,6.26,87.5,11.62,79.79,1.38,52.17,17.06,22.9,1.14,0,0,0.72,41.67,0.48,4.88,67.9,1.75,48.28,0.66,27.27,0.84,0.42,4.03,67.16,Big10 2022,Power 5,2022
S. Boman,Minnesota Golden Gophers,"LCMF , RAMF , AMF",,16,1495,5,2.81,1,2.15,27.81,50.22,United States,United States,0,0,10.84,8.49,71.63,5.18,53.49,0.12,0.15,0.12,4.64,5.91,1.2,0,0,0,0,3.73,0.3,4,0.24,0.17,0,0,32,1.93,34.38,15.625,0.06,0.13,3.07,35.29,4.27,43.66,10.05,34.73,2.11,2.17,1.26,40.82,69.76,15.71,63.6,7.16,85.71,11.02,74.32,2.95,46.94,16.64,24.49,1.14,0.06,0,0.24,50,0.36,6.08,60.4,3.01,52,0.36,50,0.6,1.08,7.22,70,Big10 2022,Power 5,2022
A. Kalin,Indiana Hoosiers,"LB , LCB3",21,16,1494,0,0.41,1,1.19,15.18,50.79,United States,United States,168,0,8.61,8.07,57.46,1.39,43.48,0.06,0.08,0.18,3.92,4.9,0.78,2,0.12,0,0,1.39,0,0,0,0.02,0,0,6,0.36,66.67,0,0.06,0.07,0.78,38.46,1.51,56,4.04,35.82,0.36,1.27,0.42,30.42,64.55,16.14,51.12,4.16,94.2,7.05,81.2,5.6,27.96,19.88,32.98,0.54,0,0,0.24,0,0.18,5.9,43.88,1.63,37.04,0.72,16.67,0.3,0.3,6.87,50.88,Big10 2022,Power 5,2022
E. Dale,Nebraska Cornhuskers,CF,20,17,1493,5,9.15,0,0.88,25.92,40.7,England,England,170,0,6.63,5.24,63.22,6.51,47.22,0.6,0.69,0.06,2.71,3.13,1.87,3,0.18,0,0,3.62,0.3,4,0.24,0.55,1,0.06,65,3.92,43.08,7.692,0,0.05,0.72,33.33,3.44,45.61,9.34,30.97,4.22,1.39,0.9,13.68,63.88,3.68,45.9,2.65,86.36,5.43,68.89,1.21,30,18.21,25.88,0.72,0,0,0.24,50,0.24,2.23,51.35,1.27,42.86,0.42,14.29,0.9,0.24,1.63,74.07,Big10 2022,Power 5,2022
G. Cesarone,Minnesota Golden Gophers,RCB,,16,1491,5,3.67,1,0.61,14.55,64.32,United States,United States,173,0,9.42,5.61,77.42,3.98,72.73,0.3,0.39,0.54,4.77,6.2,0.66,2,0.12,0,0,0.42,0.3,5,0.3,0.22,5,0.3,17,1.03,41.18,29.412,0.06,0.04,0,0,0.18,0,2.35,30.77,1.45,0.91,0.54,31.81,80.08,15.45,68.36,3.32,96.36,10.38,91.86,4.59,52.63,19.54,28.58,0.12,0,0,0.12,0,0.06,4.35,63.89,0.3,0,0.24,25,0.18,0,6.7,61.26,Big10 2022,Power 5,2022
T. Barnett,Ohio State Buckeyes,LCB,22,16,1479,0,0.56,0,0.02,16.25,63.3,United States,United States,0,0,13.2,8.09,70.68,1.34,54.55,0.43,0.57,0.91,7.06,9.46,0.49,2,0.12,0,0,1.16,0,0,0,0.03,0,0,10,0.61,0,0,0,0,0.06,0,1.89,61.29,4.69,51.95,0.61,0.24,0.97,57.32,83.76,27.2,73.38,2.98,95.92,21.97,93.91,7.12,46.15,19.55,32.86,0.06,0,0.06,0,0,0,2.68,56.82,0.18,0,0.12,0,0,0,11.44,51.6,Big10 2022,Power 5,2022
