Player,Team,Position,Age,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Height,Weight,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,xA per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",conference_season,conference_type,Season
I. Hunter,Old Dominion Monarchs,"RAMF , CF",,9,170,0,0.27,0,0.18,31.24,38.98,United States,United States,163,0,7.41,6.35,50,1.06,50,1.06,0.94,0.53,3.18,2.81,1.59,0,0,0,0,3.18,0,0,0,0.14,0,0,1,0.53,0,0,0,0.09,5.29,20,6.88,30.77,18.53,37.14,2.65,2.65,1.59,18,64.71,2.65,60,3.71,85.71,7.41,64.29,0,0,15.32,0,1.06,0,0,0.53,0,0,1.59,66.67,3.71,28.57,0,0,0,1.59,2.12,75,Sun Belt 2022,Non-P5,2022
I. Lusardi,Appalachian State Mountaineers,"LAMF , RW , LW",,11,164,0,0,0,0.13,18.11,54.55,United States,United States,0,0,7.68,6.59,75,2.2,25,0,0,0,2.74,2.24,0.55,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0.07,1.65,33.33,1.65,66.67,4.94,33.33,0.55,1.65,0.55,29.09,69.81,8.23,60,8.23,86.67,7.13,53.85,2.74,60,16.23,5.89,1.1,0,0,0,0,0,3.84,57.14,2.2,0,0,0,0.55,0,6.59,66.67,Sun Belt 2022,Non-P5,2022
T. Lea,Arkansas St. Red Wolves,"CF , RAMF",20,12,161,2,1.12,0,0.02,25.16,20,United States,United States,163,0,6.15,7.83,35.71,3.35,0,0,0,0,3.35,2.25,2.8,0,0,0,0,2.8,1.12,2,1.12,0.62,1,0.56,8,4.47,37.5,25,0,0.01,0,0,2.8,40,10.62,15.79,3.35,1.12,0,24.6,72.73,4.47,37.5,7.83,100,4.47,75,0.56,0,12.36,1,0.56,0,0,0.56,0,0,0.56,100,1.12,0,0.56,0,0,0,1.12,0,Sun Belt 2022,Non-P5,2022
S. Magliocca,Southern Miss Golden Eagles,"CF , RW , RAMF",18,9,153,0,0.05,0,0,25.29,30.23,Canada,Canada,167,0,6.47,7.65,46.15,2.94,0,0,0,0.59,2.94,1.61,2.94,0,0,0,0,1.18,0,0,0,0.03,0,0,2,1.18,50,0,0,0,0.59,0,2.94,20,11.76,25,1.76,1.76,1.76,18.24,61.29,5.29,55.56,3.53,50,4.12,71.43,1.18,50,12.43,5.64,0,0,0.59,0,0,0,1.76,66.67,0,0,0,0,0.59,0,1.76,33.33,Sun Belt 2022,Non-P5,2022
I. Noevik,Marshall Thundering Herd,"LCMF3 , LCMF , RAMF",,6,147,0,0.13,0,0,23.88,41.03,Norway,Norway,155,0,12.86,11.02,66.67,5.51,33.33,0,0,0,5.51,5.63,1.22,0,0,0,0,0.61,0,0,0,0.08,0,0,3,1.84,0,0,0,0,1.84,0,0.61,100,4.9,12.5,0.61,0.61,0,31.22,64.71,9.8,56.25,4.9,100,10.41,47.06,1.84,66.67,16.59,8.15,0,0,0,0,0,0,3.67,50,3.06,40,0,0,0.61,0,4.9,50,Sun Belt 2022,Non-P5,2022
R. Behrmann,Coastal Carolina Chanticleers,"LB , LAMF , LW",,8,143,1,0.65,0,0.37,21.4,35.29,United States,United States,170,0,11.33,13.22,33.33,2.52,50,0.63,0.4,0,6.29,4,3.15,0,0,0,0,2.52,0.63,1,0.63,0.41,0,0,2,1.26,100,50,0,0.24,0.63,0,1.26,100,3.15,40,1.26,0.63,0,27.06,39.53,15.1,29.17,1.89,100,3.78,50,7.55,25,21.99,26.76,1.26,0,0,0,0,0,5.66,33.33,1.89,0,1.89,0,0.63,0,7.55,33.33,Sun Belt 2022,Non-P5,2022
R. Tate,Old Dominion Monarchs,"LB , LCB3",,7,140,0,0,0,0,19.93,45.16,United States,United States,165,0,12.86,12.21,57.89,2.57,0,0.64,0.71,1.29,5.14,5.71,0,0,0,0,0,1.29,0,0,0,0,0,0,1,0.64,0,0,0,0,0.64,100,0.64,100,1.93,33.33,0,1.29,0.64,46.93,63.01,26.36,53.66,4.5,85.71,12.86,80,10.93,29.41,18.65,17.44,0,0,0,0,0,0,10.93,35.29,1.29,50,0.64,0,0,0.64,17.36,59.26,Sun Belt 2022,Non-P5,2022
J. Hester,Troy Trojans,"RCB3 , DMF , RCMF",22,7,139,0,0,0,0,18.78,55.17,United States,United States,170,0,9.06,9.06,50,0.65,100,0.65,0.5,0,3.88,3,0.65,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,100,4.53,57.14,0,0,0,23.31,58.33,11.01,47.06,0.65,100,5.83,55.56,6.47,40,15.59,20.08,0,0,0,0,0,0,4.53,57.14,0,0,0,0,0,0,7.77,50,Sun Belt 2022,Non-P5,2022
H. Jaen,South Alabama Jaguars,"RB , LB5 , LB",20,5,125,1,0.09,0,0,15.12,71.43,Panama,Panama,165,0,7.92,5.04,85.71,3.6,100,0,0,0,3.6,7.5,0,0,0,0,0,2.16,0.72,1,0.72,0.07,1,0.72,1,0.72,100,100,0,0,2.16,0,2.16,66.67,5.04,42.86,3.6,1.44,0,33.84,72.34,14.4,65,8.64,100,7.2,60,2.88,50,17.5,29.28,0,0,0,0,0,0,5.04,71.43,2.16,0,0,0,0,0,7.92,63.64,Sun Belt 2022,Non-P5,2022
M. Henderson,Texas St. Bobcats,"LAMF , LW , RW",,9,124,0,0.02,0,0,23.23,34.38,United States,United States,165,0,5.08,6.53,44.44,2.18,33.33,0.73,0.71,0,1.45,1.43,0,0,0,0,0,2.9,0,0,0,0.01,0,0,1,0.73,100,0,0,0,4.35,16.67,7.98,18.18,12.34,23.53,0,1.45,0.73,23.95,63.64,7.26,70,2.18,100,12.34,52.94,0.73,0,15.5,1.53,0,0,0,0,0,0,1.45,50,4.35,33.33,0,0,0.73,0.73,6.53,88.89,Sun Belt 2022,Non-P5,2022
